查询院校名称,页面院校名称,主管部门,院校省份,城市,985,211,双一流,类型,层次,性质,省份,批次,科类,专业组,选科要求,专业,最低分,最低位次,人数,批次线差,备注
北京物资学院,北京物资学院,北京市,北京,北京,,,,财经,本科,公办,江西,本科批,首选物理,501,首选物理 再选不限,"物流工程-3, 信息管理与信息系统-(数智化管理实验班)-3, 金融科技-2, 商务英语-(实验班)(外语语种要求：英语。)(外语要求:英语)-1, 物流工程-(京东科技实验班)-1, 物流管理-1, 质量管理工程-1, 会计学-(注册会计师)-1, 经济学-(实验班)-1, 法学-1, 会计学-(智能会计)-1",,,16.0,,
北京物资学院,北京物资学院,北京市,北京,北京,,,,财经,本科,公办,江西,本科批,首选物理,502,首选物理 再选化学,"计算机科学与技术-(实验班)-3, 人工智能-2, 计算机科学与技术-2, 数据科学-2, 应用统计学-2, 数据科学与大数据技术-2, 物联网工程-1",,,14.0,,
首都医科大学,首都医科大学,北京市,北京,北京,,,,医药,本科,公办,江西,本科批,首选物理,501,首选物理 再选化学,"临床医学-(五年)(不招色盲、色弱、斜视、弱视考生)-5, 临床医学-(5+3一体化)(五年)(本硕连读专业；不招色盲、色弱、斜视、弱视考生)-5, 儿科学-(5+3一体化)(五年)(本硕连读专业；不招色盲、色弱、斜视、弱视考生)-2, 临床医学-(阶平班)(五年)(不招色盲、色弱、斜视、弱视考生)-2, 口腔医学-(5+3一体化)(五年)(本硕连读专业；不招左利的考生；不招色盲、色弱、斜视、弱视考生)-1, 精神医学-(五年)(不招色盲、色弱、斜视、弱视考生)-1",,,16.0,,
首都医科大学,首都医科大学,北京市,北京,北京,,,,医药,本科,公办,江西,本科批,首选物理,502,首选物理 再选化学,"预防医学-(五年)(不招色盲、色弱、斜视、弱视考生)-3, 中医学-(五年)(不招色盲、色弱、斜视、弱视考生)-3, 药学-(不招色盲、色弱、斜视、弱视考生)-2, 中药学-(不招色盲、色弱、斜视、弱视考生)-1",,,9.0,,
首都师范大学,首都师范大学,北京市,北京,北京,,,双一流,师范,本科,公办,江西,本科批,首选物理,501,首选物理 再选化学,"人工智能-2, 光电信息科学与工程-2, 遥感科学与技术-2, 计算机科学与技术-2, 软件工程-2, 地理信息科学-2",,,12.0,,
北京外国语大学,北京外国语大学,教育部,北京,北京,,,双一流,语言,本科,公办,江西,本科批,首选物理,502,首选物理 再选不限,"英语-(北京理工大学信息管理与系统专业联培)(外语语种要求：英语。)(外语要求:英语)-1, 工商管理类-(工商管理、会计学、电子商务(数字化运营与创新)、国际商务)-1",,,2.0,,
北京外国语大学,北京外国语大学,教育部,北京,北京,,,双一流,语言,本科,公办,江西,本科批,首选物理,503,首选物理 再选化学,计算机科学与技术-(数智技术)-1,,,1.0,,
北京外国语大学,北京外国语大学,教育部,北京,北京,,,双一流,语言,本科,公办,江西,本科批,首选物理,504,首选物理 再选政治,外交学-1,,,1.0,,
北京外国语大学,北京外国语大学,教育部,北京,北京,,,双一流,语言,本科,公办,江西,本科批,首选物理,561,首选物理 再选不限,"英语-(外语教育)(外语语种要求：英语。)(外语语种:英语)(国家专项)-1, 信息管理与信息系统-(商务智能)(国家专项)-1",,,2.0,,
北京第二外国语学院,北京第二外国语学院,北京市,北京,北京,,,,语言,本科,公办,江西,本科批,首选物理,501,首选物理 再选不限,"法语-(人工智能与语言认知方向)(外语成绩不低于：90。办学地点：一年级在延庆校区，大二至大四在校本部)(外语要求:不限)-1, 葡萄牙语-(人工智能与语言认知方向)(外语成绩不低于：90。办学地点：一年级在延庆校区，大二至大四在校本部)(外语要求:不限)-1, 英语-(人工智能与语言认知方向)(外语语种要求：英语。外语成绩不低于：90。办学地点：一年级在延庆校区，大二至大四在校本部)(外语要求:英语)-1, 俄语-(人工智能与语言认知方向)(外语成绩不低于：90。办学地点：一年级在延庆校区，大二至大四在校本部)(外语要求:不限)-1, 金融学-(数智金融方向)(外语成绩不低于：90。辅修英语专业，复合型人才培养，合格者同时授予辅修学士学位。)-1, 财务管理-(智能财务方向)(外语成绩不低于：90。辅修英语专业，复合型人才培养，合格者同时授予辅修学士学位。)-1",,,6.0,,
